2024-07-08T02:57:01.051+07:00Z&{"id": "7d80e4e0","data": "ht120v|60,25,11,21,31,0.00,"}
2024-07-08T03:02:01.167+07:00Z&{"id": "7d80e4e0","data": "ht120v|60,26,10,20,31,0.00,"}
2024-07-08T03:07:01.304+07:00Z&{"id": "7d80e4e0","data": "ht120v|61,26,10,20,31,0.00,"}
2024-07-08T03:12:01.459+07:00Z&{"id": "7d80e4e0","data": "ht120v|61,26,10,20,31,0.00,"}
2024-07-08T03:17:01.571+07:00Z&{"id": "7d80e4e0","data": "ht120v|60,25,10,21,31,0.00,"}
2024-07-08T03:22:01.710+07:00Z&{"id": "7d80e4e0","data": "ht120v|60,26,11,20,30,0.00,"}
2024-07-08T03:27:01.836+07:00Z&{"id": "7d80e4e0","data": "ht120v|61,26,11,21,31,0.00,"}
2024-07-08T03:32:01.965+07:00Z&{"id": "7d80e4e0","data": "ht120v|60,26,11,20,31,0.00,"}
2024-07-08T03:37:02.106+07:00Z&{"id": "7d80e4e0","data": "ht120v|60,26,10,21,31,0.00,"}
2024-07-08T03:42:02.231+07:00Z&{"id": "7d80e4e0","data": "ht120v|60,25,10,20,30,0.00,"}
2024-07-08T03:47:02.358+07:00Z&{"id": "7d80e4e0","data": "ht120v|61,25,10,20,31,0.00,"}
2024-07-08T03:52:02.496+07:00Z&{"id": "7d80e4e0","data": "ht120v|60,26,11,20,30,0.00,"}
2024-07-08T03:57:02.628+07:00Z&{"id": "7d80e4e0","data": "ht120v|61,25,11,21,31,0.00,"}
2024-07-08T04:02:02.787+07:00Z&{"id": "7d80e4e0","data": "ht120v|61,25,11,21,31,0.00,"}
2024-07-08T04:07:02.899+07:00Z&{"id": "7d80e4e0","data": "ht120v|61,25,11,21,31,0.00,"}
2024-07-08T04:12:03.032+07:00Z&{"id": "7d80e4e0","data": "ht120v|60,25,10,21,31,0.00,"}
2024-07-08T04:17:03.169+07:00Z&{"id": "7d80e4e0","data": "ht120v|61,25,10,21,30,0.00,"}
2024-07-08T04:22:03.298+07:00Z&{"id": "7d80e4e0","data": "ht120v|61,25,11,20,31,0.00,"}
2024-07-08T04:27:03.439+07:00Z&{"id": "7d80e4e0","data": "ht120v|61,26,10,20,31,0.00,"}
2024-07-08T04:32:03.556+07:00Z&{"id": "7d80e4e0","data": "ht120v|60,26,11,20,30,0.00,"}
2024-07-08T04:37:03.704+07:00Z&{"id": "7d80e4e0","data": "ht120v|61,25,10,21,30,0.00,"}
2024-07-08T04:42:03.822+07:00Z&{"id": "7d80e4e0","data": "ht120v|60,25,11,20,30,0.00,"}
2024-07-08T04:47:03.967+07:00Z&{"id": "7d80e4e0","data": "ht120v|61,26,10,20,31,0.00,"}
2024-07-08T04:52:04.085+07:00Z&{"id": "7d80e4e0","data": "ht120v|60,26,11,21,30,0.00,"}
2024-07-08T04:57:04.224+07:00Z&{"id": "7d80e4e0","data": "ht120v|61,26,10,20,30,0.00,"}
2024-07-08T05:02:04.351+07:00Z&{"id": "7d80e4e0","data": "ht120v|60,26,10,20,31,0.00,"}
2024-07-08T05:07:04.478+07:00Z&{"id": "7d80e4e0","data": "ht120v|61,25,11,20,31,0.00,"}
2024-07-08T05:12:04.610+07:00Z&{"id": "7d80e4e0","data": "ht120v|60,25,11,20,30,0.00,"}
2024-07-08T05:17:04.746+07:00Z&{"id": "7d80e4e0","data": "ht120v|61,25,10,20,30,0.00,"}
2024-07-08T05:22:04.874+07:00Z&{"id": "7d80e4e0","data": "ht120v|61,26,10,20,30,0.00,"}
2024-07-08T05:27:05.001+07:00Z&{"id": "7d80e4e0","data": "ht120v|61,26,11,21,30,0.00,"}
2024-07-08T05:32:05.130+07:00Z&{"id": "7d80e4e0","data": "ht120v|60,25,10,21,31,0.00,"}
2024-07-08T05:37:05.264+07:00Z&{"id": "7d80e4e0","data": "ht120v|60,25,11,21,31,0.00,"}
2024-07-08T05:42:05.412+07:00Z&{"id": "7d80e4e0","data": "ht120v|60,26,11,20,30,0.00,"}
2024-07-08T05:47:05.526+07:00Z&{"id": "7d80e4e0","data": "ht120v|61,26,10,21,31,0.00,"}
2024-07-08T05:52:05.668+07:00Z&{"id": "7d80e4e0","data": "ht120v|60,25,11,21,31,0.00,"}
2024-07-08T05:57:05.787+07:00Z&{"id": "7d80e4e0","data": "ht120v|61,26,10,21,31,0.00,"}
2024-07-08T06:02:05.917+07:00Z&{"id": "7d80e4e0","data": "ht120v|60,26,11,20,31,0.00,"}
2024-07-08T13:32:06.784+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,12,20,28,22,0.00,"}
2024-07-08T13:32:07.809+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,12,20,28,21,0.00,"}
2024-07-08T13:32:08.884+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,12,20,28,25,0.00,"}
2024-07-08T13:32:09.884+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,12,20,28,21,0.00,"}
2024-07-08T13:32:10.904+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,12,20,28,21,0.00,"}
2024-07-08T13:32:11.926+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,13,20,28,21,0.00,"}
2024-07-08T13:32:12.953+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,13,20,28,21,0.00,"}
2024-07-08T13:32:13.986+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,13,20,28,22,0.00,"}
2024-07-08T13:32:15.029+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,13,20,28,21,0.00,"}
2024-07-08T13:32:16.090+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,13,20,28,24,0.00,"}
2024-07-08T13:32:17.531+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,13,20,28,21,0.00,"}
2024-07-08T13:32:18.334+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,13,21,29,21,0.00,"}
2024-07-08T13:32:19.169+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,13,21,29,21,0.00,"}
2024-07-08T13:32:20.173+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,12,21,29,21,0.00,"}
2024-07-08T13:32:21.238+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,12,20,28,22,0.00,"}
2024-07-08T13:32:22.245+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,12,20,28,21,0.00,"}
2024-07-08T13:32:23.313+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,12,20,28,21,0.00,"}
2024-07-08T13:32:24.324+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,12,20,28,21,0.00,"}
2024-07-08T13:32:25.749+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,11,19,27,21,0.00,"}
2024-07-08T13:32:26.799+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,11,19,27,21,0.00,"}
2024-07-08T13:32:27.501+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,11,19,27,24,0.00,"}
2024-07-08T13:32:28.455+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,11,19,26,21,0.00,"}
2024-07-08T13:32:29.441+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,11,19,25,21,0.00,"}
2024-07-08T13:32:30.510+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,11,19,24,21,0.00,"}
2024-07-08T13:32:31.513+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,11,19,24,22,0.00,"}
2024-07-08T13:32:32.563+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,11,19,24,21,0.00,"}
2024-07-08T13:32:33.597+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,12,20,24,21,0.00,"}
2024-07-08T13:32:36.681+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,12,20,24,21,0.00,"}
2024-07-08T13:32:37.702+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,12,20,24,21,0.00,"}
2024-07-08T13:32:38.741+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,12,20,25,21,0.00,"}
2024-07-08T13:32:39.763+07:00Z&{"id": "7d80e4e0","data": "ht120av|81,27,12,20,25,21,0.00,"}
