2023-02-27T17:53:15.684362,va|9114.00
2023-02-27T17:53:46.131501,va|9113.00
2023-02-27T17:55:16.727693,8226va|8110.008829
2023-02-27T19:54:20.587183,{"id": "cefb0c56","data": "va|9114.00"}
2023-02-27T19:54:26.706800,{"id": "cefb0c56","data": "va|9111.00"}
2023-02-27T19:54:32.825483,{"id": "cefb0c56","data": "va|8111.00"}
2023-02-27T19:54:38.944999,{"id": "cefb0c56","data": "va|8110.00"}
2023-02-27T19:54:45.063625,{"id": "cefb0c56","data": "va|9112.00"}
2023-02-27T19:54:51.183116,{"id": "cefb0c56","data": "va|9113.00"}
2023-02-27T19:54:57.301725,{"id": "cefb0c56","data": "va|8111.00"}
2023-02-27T19:55:03.421059,{"id": "cefb0c56","data": "va|8110.00"}
2023-02-27T19:55:09.538194,{"id": "cefb0c56","data": "va|9113.00"}
2023-02-27T19:55:15.656596,{"id": "cefb0c56","data": "va|9115.00"}
2023-02-27T19:55:21.774261,{"id": "cefb0c56","data": "va|8111.00"}
2023-02-27T19:55:27.893073,{"id": "cefb0c56","data": "va|8111.00"}
