2023-03-05T21:34:07.568714,{"id": "cefb0c56","data": "va|14169.00"}
2023-03-05T21:34:13.665963,{"id": "cefb0c56","data": "va|9123.00"}
2023-03-05T21:34:19.785823,{"id": "cefb0c56","data": "va|9121.00"}
2023-03-05T21:34:25.904702,{"id": "cefb0c56","data": "va|9120.00"}
2023-03-05T21:34:32.024550,{"id": "cefb0c56","data": "va|9120.00"}
2023-03-05T21:34:38.143414,{"id": "cefb0c56","data": "va|9120.00"}
2023-03-05T21:34:44.263385,{"id": "cefb0c56","data": "va|9120.00"}
2023-03-05T21:34:50.382278,{"id": "cefb0c56","data": "va|9118.00"}
2023-03-05T21:34:56.502333,{"id": "cefb0c56","data": "va|9118.00"}
2023-03-05T21:35:02.621267,{"id": "cefb0c56","data": "va|9118.00"}
2023-03-05T21:35:18.626177,{"id": "bd950176","data": "va|14167.00"}
2023-03-05T21:35:24.723811,{"id": "bd950176","data": "va|9117.00"}
2023-03-05T21:35:30.843844,{"id": "bd950176","data": "va|9115.00"}
2023-03-05T21:35:36.962872,{"id": "bd950176","data": "va|9115.00"}
2023-03-05T21:35:43.082973,{"id": "bd950176","data": "va|9116.00"}
2023-03-05T21:35:49.202010,{"id": "bd950176","data": "va|9115.00"}
2023-03-05T21:35:55.321869,{"id": "bd950176","data": "va|9115.00"}
2023-03-05T21:36:01.440543,{"id": "bd950176","data": "va|9115.00"}
2023-03-05T21:36:07.560162,{"id": "bd950176","data": "va|8111.00"}
2023-03-05T21:36:13.678827,{"id": "bd950176","data": "va|9112.00"}
2023-03-05T21:36:19.798468,{"id": "bd950176","data": "va|9118.00"}
2023-03-05T21:36:25.918089,{"id": "bd950176","data": "va|9119.00"}
2023-03-05T21:36:32.037756,{"id": "bd950176","data": "va|9113.00"}
2023-03-05T21:36:38.157494,{"id": "bd950176","data": "va|8110.00"}
2023-03-05T21:36:44.277028,{"id": "bd950176","data": "va|8109.00"}
2023-03-05T21:36:54.457113,{"id": "bd950176","data": "va|14167.00"}
2023-03-05T21:37:00.554242,{"id": "bd950176","data": "va|9117.00"}
2023-03-05T21:37:06.673948,{"id": "bd950176","data": "va|9115.00"}
2023-03-05T21:37:12.792566,{"id": "bd950176","data": "va|9115.00"}
2023-03-05T21:37:18.912110,{"id": "bd950176","data": "va|8109.00"}
