2023-03-06T05:44:06.978870,{"id": "bd950176","data": "va|14165.00"}
2023-03-06T05:44:19.773636,{"id": "bd950176","data": "va|14170.00"}
2023-03-06T05:44:25.870567,{"id": "bd950176","data": "va|9114.00"}
2023-03-06T05:44:31.989965,{"id": "bd950176","data": "va|9117.00"}
2023-03-06T05:44:38.108365,{"id": "bd950176","data": "va|9117.00"}
2023-03-06T05:44:44.227784,{"id": "bd950176","data": "va|9114.00"}
2023-03-06T05:44:50.346157,{"id": "bd950176","data": "va|9115.00"}
2023-03-06T05:44:56.465611,{"id": "bd950176","data": "va|9116.00"}
2023-03-06T05:45:02.584000,{"id": "bd950176","data": "va|9113.00"}
2023-03-06T05:45:08.703466,{"id": "bd950176","data": "va|9116.00"}
2023-03-06T05:45:14.821881,{"id": "bd950176","data": "va|9116.00"}
2023-03-06T05:45:20.941337,{"id": "bd950176","data": "va|8112.00"}
2023-03-06T05:45:27.060787,{"id": "bd950176","data": "va|9117.00"}
2023-03-06T05:45:33.180224,{"id": "bd950176","data": "va|9115.00"}
2023-03-06T05:45:39.299665,{"id": "bd950176","data": "va|9115.00"}
2023-03-06T05:45:45.419059,{"id": "bd950176","data": "va|9115.00"}
2023-03-06T05:45:51.538541,{"id": "bd950176","data": "va|9114.00"}
2023-03-06T05:45:57.657977,{"id": "bd950176","data": "va|9115.00"}
2023-03-06T05:46:03.777410,{"id": "bd950176","data": "va|9114.00"}
2023-03-06T05:46:09.895866,{"id": "bd950176","data": "va|9115.00"}
2023-03-06T05:46:16.015295,{"id": "bd950176","data": "va|9113.00"}
2023-03-06T05:46:22.133747,{"id": "bd950176","data": "va|9117.00"}
2023-03-06T05:46:28.253175,{"id": "bd950176","data": "va|9114.00"}
2023-03-06T05:46:34.371578,{"id": "bd950176","data": "va|9117.00"}
2023-03-06T05:46:40.491047,{"id": "bd950176","data": "va|9115.00"}
2023-03-06T05:46:46.609397,{"id": "bd950176","data": "va|9115.00"}
2023-03-06T05:46:52.728873,{"id": "bd950176","data": "va|9115.00"}
2023-03-06T05:46:58.847246,{"id": "bd950176","data": "va|9115.00"}
2023-03-06T05:47:04.966792,{"id": "bd950176","data": "va|9116.00"}
2023-03-06T05:47:11.085182,{"id": "bd950176","data": "va|9114.00"}
2023-03-06T05:47:17.204582,{"id": "bd950176","data": "va|9117.00"}
2023-03-06T05:47:23.323077,{"id": "bd950176","data": "va|9115.00"}
2023-03-06T05:47:29.442432,{"id": "bd950176","data": "va|9116.00"}
2023-03-06T05:47:35.560644,{"id": "bd950176","data": "va|9115.00"}
