timestamp,message
Timestamp,Message
13:18:58,c85e7441
13:18:58,"{""clientId"":""c85e7441"",""subs"":[{""topic"":""node/c85e7441/prod/action"",""qos"":2}]}"
13:19:40,c85e7441
13:19:40,"{""clientId"":""c85e7441"",""subs"":[{""topic"":""node/c85e7441/prod/action"",""qos"":2}]}"
13:19:47,c85e7441
13:19:47,"{""clientId"":""c85e7441"",""subs"":[""node/c85e7441/prod/action""]}"
13:20:5,c85e7441
13:20:5,"{""clientId"":""c85e7441"",""subs"":[{""topic"":""node/c85e7441/prod/action"",""qos"":2}]}"
13:20:9,c85e7441
13:20:9,"{""clientId"":""c85e7441"",""subs"":[""node/c85e7441/prod/action""]}"
13:20:37,b67f2520-60e7-4853-adf3-6158557294ae
13:21:5,c85e7441
13:21:5,"{""clientId"":""c85e7441"",""subs"":[{""topic"":""node/c85e7441/prod/action"",""qos"":2}]}"
13:21:8,c85e7441
13:21:8,"{""clientId"":""c85e7441"",""subs"":[""node/c85e7441/prod/action""]}"
13:21:37,b67f2520-60e7-4853-adf3-6158557294ae
13:22:37,b67f2520-60e7-4853-adf3-6158557294ae
13:23:5,c85e7441
13:23:5,"{""clientId"":""c85e7441"",""subs"":[{""topic"":""node/c85e7441/prod/action"",""qos"":2}]}"
13:23:9,c85e7441
13:23:9,"{""clientId"":""c85e7441"",""subs"":[""node/c85e7441/prod/action""]}"
13:23:23,c85e7441
13:23:23,"{""clientId"":""c85e7441"",""subs"":[{""topic"":""node/c85e7441/prod/action"",""qos"":2}]}"
13:23:25,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,49,62,73,246,0.51,""}"
13:23:26,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,49,62,73,269,0.51,""}"
13:23:27,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,49,62,73,269,0.51,""}"
13:23:28,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,49,62,73,269,0.51,""}"
13:23:30,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,48,61,72,269,0.53,""}"
13:23:31,"{""id"": ""7d80e4e0"",""data"": ""ht120av|50,36,48,61,72,269,0.53,""}"
13:23:32,c85e7441
13:23:32,"{""clientId"":""c85e7441"",""subs"":[""node/c85e7441/prod/action""]}"
13:24:8,c85e7441
13:24:8,"{""clientId"":""c85e7441"",""subs"":[{""topic"":""node/c85e7441/prod/action"",""qos"":2}]}"
13:24:9,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,47,61,73,295,0.57,""}"
13:24:10,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,47,61,73,291,0.53,""}"
13:24:11,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,47,61,73,291,0.53,""}"
13:24:13,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,47,61,73,291,0.51,""}"
13:24:14,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,47,61,72,294,0.53,""}"
13:24:15,"{""id"": ""7d80e4e0"",""data"": ""ht120av|51,36,47,61,72,291,0.53,""}"
